id	Gene	SYMBOL
33	GUCY2C	GUCY2C
33	HPS1	HPS1
33	HPS4	HPS4
33	HPS6	HPS6
33	ICOS	ICOS
33	IL10	IL10
33	IL10RA	IL10RA
33	IL10RB	IL10RB
33	IL2RA	IL2RA
33	IL2RG	IL2RG
33	MEFV	MEFV
33	MVK	MVK
33	MYO5B	MYO5B
33	NCF1	NCF1
33	OTULIN	OTULIN
33	RAG1	RAG1
33	RAG2	RAG2
33	RTEL1	RTEL1
33	SAMD9	SAMD9
33	SH2D1A	SH2D1A
33	SKIV2L	SKIV2L
33	SLC37A4	SLC37A4
33	STAT3	STAT3
33	STXBP2	STXBP2
33	TTC37	TTC37
33	TTC7A	TTC7A
33	WAS	WAS
33	XIAP	XIAP
33	ADA	ADA
33	ADAM17	ADAM17
33	ANO1	ANO1
33	COL7A1	COL7A1
33	FERMT1	FERMT1
33	IKBKG	IKBKG
33	ITGB2	ITGB2
33	LIG4	LIG4
33	LRBA	LRBA
33	NCF2	NCF2
33	NCF4	NCF4
33	NOD2	NOD2
33	PIK3CD	PIK3CD
33	PIK3R1	PIK3R1
33	PLCG2	PLCG2
33	PTEN	PTEN
33	RET	RET
33	STAT1	STAT1
33	ZAP70	ZAP70
33	ABCB1	ABCB1
33	AICDA	AICDA
33	ATG16L1	ATG16L1
33	BTK	BTK
33	CD3G	CD3G
33	G6PC3	G6PC3
33	HLA-DQA1	HLA-DQA1
33	HLA-DRB1	HLA-DRB1
33	IL12B	IL12B
33	IL23R	IL23R
33	IL6	IL6
33	IRF5	IRF5
33	IRGM	IRGM
33	JAK2	JAK2
33	LRRK2	LRRK2
33	MAGI2	MAGI2
33	MUC2	MUC2
33	MYO9B	MYO9B
33	NLRC4	NLRC4
33	PARD3	PARD3
33	PTPN2	PTPN2
33	SHANK3	SHANK3
33	SLC22A4	SLC22A4
33	SLC22A5	SLC22A5
33	SLC9A3	SLC9A3
33	TGFBR1	TGFBR1
33	TGFBR2	TGFBR2
33	TYK2	TYK2
